Designator,Mid X,Mid Y,Rotation,Layer
C_1V-DECOUP1,89.51,5.84,0.0,bottom
C_1V-DECOUP2,106.858504,18.157015,135.0,bottom
C_1V-DECOUP3,96.594305,17.203662,45.0,bottom
C_3V-DECOUP1,94.068611,14.677968,45.0,bottom
C_3V-DECOUP2,95.752407,16.361764,45.0,bottom
C_3V-DECOUP3,105.072568,19.942951,135.0,bottom
C_3V-DECOUP4,105.61,3.74,180.0,bottom
C_3V-DECOUP5,104.714527,9.08344,225.0,bottom
C_3V-DECOUP6,89.99,4.82,0.0,bottom
C_3V-DECOUP7,94.910509,15.519866,45.0,bottom
C_3V-DECOUP8,91.678048,11.608583,0.0,bottom
C_3V-DECOUP9,105.965536,19.049983,135.0,bottom
C_CRYSTAL1,94.34,4.18,0.0,bottom
C_CRYSTAL2,90.59,2.48,90.0,bottom
C_FLASH1,111.025688,23.812479,180.0,bottom
C_LD1,71.988219,41.981215,0.0,bottom
C_LD2,75.719937,39.290591,0.0,bottom
D1,12.501552,65.781976,90.0,bottom
D10,183.951408,65.781976,90.0,bottom
D11,14.8828,46.731992,90.0,bottom
D12,36.314032,46.731992,90.0,bottom
D13,55.364016,46.731992,90.0,bottom
D14,74.414,46.731992,90.0,bottom
D15,93.463984,46.731992,90.0,bottom
D16,112.513968,46.731991,90.0,bottom
D17,131.563952,46.731991,90.0,bottom
D18,150.613935,46.731992,90.0,bottom
D19,176.807664,46.73199,90.0,bottom
D2,31.551536,65.781976,90.0,bottom
D20,19.645296,27.682007,90.0,bottom
D21,45.839024,27.682008,90.0,bottom
D22,64.889007,27.682007,90.0,bottom
D23,83.938992,27.682007,90.0,bottom
D24,102.988976,27.682007,90.0,bottom
D25,122.03896,27.682007,90.0,bottom
D26,141.088944,27.682007,90.0,bottom
D27,160.138928,27.682007,90.0,bottom
D28,181.57016,27.682007,90.0,bottom
D29,12.501552,8.632023,90.0,bottom
D3,50.60152,65.781976,90.0,bottom
D30,31.551536,8.632023,90.0,bottom
D31,50.60152,8.632023,90.0,bottom
D32,79.176496,8.632023,90.0,bottom
D33,117.276464,8.632023,90.0,bottom
D34,145.85144,8.632023,90.0,bottom
D35,164.901424,8.632023,90.0,bottom
D36,183.951408,8.632023,90.0,bottom
D4,69.651504,65.781975,90.0,bottom
D5,88.701488,65.781975,90.0,bottom
D6,107.751472,65.781975,90.0,bottom
D7,126.801456,65.781976,90.0,bottom
D8,145.85144,65.781976,90.0,bottom
D9,164.901424,65.781976,90.0,bottom
ENC1,47.62496,9.274992,0.0,top
ENC2,142.874879,9.274992,0.0,top
J1,80.962432,40.481215,270.0,bottom
J2,1.785936,28.569975,0.0,bottom
J3,96.440625,73.81875,90.0,top
J4,188.11875,59.53125,0.0,top
MX1,9.524992,68.839934,0.0,top
MX10,180.974849,68.839934,0.0,top
MX11,11.906239,49.78995,0.0,top
MX12,33.337472,49.78995,0.0,top
MX13,52.387456,49.78995,0.0,top
MX14,71.43744,49.789951,0.0,top
MX15,90.487424,49.789951,0.0,top
MX16,109.537407,49.78995,0.0,top
MX17,128.587392,49.78995,0.0,top
MX18,147.637376,49.78995,0.0,top
MX19,173.831104,49.78995,0.0,top
MX2,28.574976,68.839934,0.0,top
MX20,16.668736,30.739967,0.0,top
MX21,42.862464,30.739967,0.0,top
MX22,61.912448,30.739966,0.0,top
MX23,80.962432,30.739966,0.0,top
MX24,100.012416,30.739966,0.0,top
MX25,119.0624,30.739967,0.0,top
MX26,138.112384,30.739967,0.0,top
MX27,157.162368,30.739967,0.0,top
MX28,178.5936,30.739966,0.0,top
MX29,9.524992,11.689983,0.0,top
MX3,47.624959,68.839934,0.0,top
MX30,28.574976,11.689983,0.0,top
MX31,47.62496,11.689983,0.0,top
MX32,76.199936,11.689983,0.0,top
MX33,114.299904,11.689983,0.0,top
MX34,142.874879,11.689983,0.0,top
MX35,161.924864,11.689983,0.0,top
MX36,180.974848,11.689983,0.0,top
MX4,66.674943,68.839934,0.0,top
MX5,85.724928,68.839934,0.0,top
MX6,104.774912,68.839934,0.0,top
MX7,123.824896,68.839934,0.0,top
MX8,142.87488,68.839934,0.0,top
MX9,161.924864,68.839934,0.0,top
R_CRYSTAL1,92.45,4.93,180.0,bottom
R_DATA1,98.918228,19.444075,225.0,bottom
R_DATA2,98.22648,18.752328,225.0,bottom
R_FLASH1,113.10928,23.812479,180.0,bottom
R_FLASH2,115.490528,23.812479,180.0,bottom
R_FLASH3,117.57412,23.812479,180.0,bottom
R_RST1,1.785936,36.909344,90.0,bottom
SW1,64.293696,11.906239,180.0,bottom
SW2,126.206145,11.906239,180.0,bottom
U1,97.928824,8.929679,135.0,bottom
U2,114.299904,20.240608,270.0,bottom
U3,75.262436,41.981215,180.0,bottom
U4,184.06875,60.03125,180.0,bottom
Y1,93.27,1.92,180.0,bottom
